a11,a12,a21,a22,b11,b12,b21,b22,x1,x2,y1,y2
2.4,8.6,7.8,5.0,1.8396576951504218,1.6,1.0,9.4,0.9722607418480311,0.02773925815196884,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,2.517086708025168,1.6,1.0,9.4,0.9015693706880236,0.09843062931197642,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,4.294594754985117,1.6,1.0,9.4,0.7571254458145613,0.2428745541854387,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,6.107052487348563,1.6,1.0,9.4,0.6508069916221108,0.34919300837788925,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,1.5953060565584942,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,5.578394243809154,1.6,1.0,9.4,0.6786017503200077,0.32139824967999225,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,1.9000980748875773,1.6,1.0,9.4,0.9655063572497192,0.03449364275028073,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,7.104717402994861,1.6,1.0,9.4,0.604111522481627,0.3958884775183731,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,0.27272024525505034,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,9.750551937722525,1.6,1.0,9.4,0.5075359439134148,0.49246405608658506,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,6.806708221236447,1.6,1.0,9.4,0.6173425536449615,0.38265744635503846,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,6.414257337593234,1.6,1.0,9.4,0.6356770407446845,0.3643229592553156,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,5.009490780997673,1.6,1.0,9.4,0.7112923119018992,0.2887076880981008,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,6.943814081232298,1.6,1.0,9.4,0.6111840534477632,0.3888159465522369,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,4.207207636834108,1.6,1.0,9.4,0.7631363264094843,0.23686367359051588,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,6.98511506856984,1.6,1.0,9.4,0.6093529113262216,0.3906470886737783,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,8.9907169100892,1.6,1.0,9.4,0.5319581148739972,0.46804188512600287,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,8.28529285054085,1.6,1.0,9.4,0.5568337375498041,0.4431662624501959,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,0.2835332291440251,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,3.5749632949233145,1.6,1.0,9.4,0.8096414185976248,0.1903585814023752,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,3.65475168384392,1.6,1.0,9.4,0.803462411544485,0.19653758845551508,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,9.798379532100244,1.6,1.0,9.4,0.5060734985457416,0.49392650145425837,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,6.595044115981279,1.6,1.0,9.4,0.6270975987289341,0.3729024012710657,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,8.383391896468764,1.6,1.0,9.4,0.553236065911834,0.44676393408816595,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,8.833181065956731,1.6,1.0,9.4,0.5373186662752908,0.46268133372470915,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,0.9477886956351034,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,6.033948613581628,1.6,1.0,9.4,0.6545140745780011,0.3454859254219988,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,8.809235671132637,1.6,1.0,9.4,0.5381429415877658,0.46185705841223423,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,5.8151890175378576,1.6,1.0,9.4,0.6658639825627799,0.33413601743722016,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,1.40741212995517,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,7.065616931048751,1.6,1.0,9.4,0.6058150922365523,0.3941849077634477,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,7.746338563232397,1.6,1.0,9.4,0.5774649038646741,0.4225350961353257,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,0.19530068210715235,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,2.117837956591253,1.6,1.0,9.4,0.9419323428938833,0.058067657106116666,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,1.3817605617731377,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,8.572378971510323,1.6,1.0,9.4,0.5464346159802426,0.45356538401975743,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,6.793669764227637,1.6,1.0,9.4,0.6179346817814408,0.38206531821855905,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,2.381768337991824,1.6,1.0,9.4,0.9148564514792793,0.08514354852072069,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,4.105064267698976,1.6,1.0,9.4,0.7702843187161191,0.22971568128388092,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,6.768929796338579,1.6,1.0,9.4,0.6190613501638607,0.3809386498361393,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,7.7071159499986885,1.6,1.0,9.4,0.5790261847325181,0.4209738152674819,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,5.567540624205119,1.6,1.0,9.4,0.6791972838609439,0.32080271613905603,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,8.256511349702127,1.6,1.0,9.4,0.557898161459971,0.44210183854002927,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,1.8515521920258204,1.6,1.0,9.4,0.970924039242614,0.029075960757386086,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,7.537605042756476,1.6,1.0,9.4,0.5858719064272019,0.41412809357279806,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,4.445355787468498,1.6,1.0,9.4,0.7469750320715259,0.2530249679284741,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,4.074946309962726,1.6,1.0,9.4,0.7724176065406976,0.22758239345930242,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,1.7188117209496423,1.6,1.0,9.4,0.9860530171529137,0.013946982847086278,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,5.448775475928168,1.6,1.0,9.4,0.6857828373544809,0.31421716264551924,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,7.046451693275012,1.6,1.0,9.4,0.6066536168309271,0.393346383169073,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,1.1129707001897415,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,3.5661150992323853,1.6,1.0,9.4,0.8103325035067401,0.1896674964932597,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,5.884484537407127,1.6,1.0,9.4,0.6622263581328839,0.33777364186711617,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,3.486360531848601,1.6,1.0,9.4,0.8166153591439793,0.1833846408560206,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,7.170732353582325,1.6,1.0,9.4,0.6012569554269718,0.3987430445730283,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,6.3877024260320425,1.6,1.0,9.4,0.6369570474549612,0.36304295254503866,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,6.198423975366651,1.6,1.0,9.4,0.6462321906039428,0.3537678093960573,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,5.04059985631338,1.6,1.0,9.4,0.7094235175527142,0.2905764824472858,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,0.7474518826036725,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,5.277904749382213,1.6,1.0,9.4,0.6954848687997528,0.30451513120024715,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,0.7346642551452931,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,9.330819892248309,1.6,1.0,9.4,0.5207422844040701,0.47925771559592995,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,9.331966541453925,1.6,1.0,9.4,0.5207052703968064,0.4792947296031936,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,9.413609679377087,1.6,1.0,9.4,0.5180832748604023,0.48191672513959755,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,9.515868176408272,1.6,1.0,9.4,0.5148362262540143,0.48516377374598574,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,9.356474078540746,1.6,1.0,9.4,0.5199154196123149,0.48008458038768514,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,2.455659005912121,1.6,1.0,9.4,0.9075528813922853,0.0924471186077147,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,7.810477447703402,1.6,1.0,9.4,0.5749298768686292,0.4250701231313709,0.4,0.6000000000000001
